epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6532,1.53129,2.67697,1.55365,0.94846,0.11681,0.355,0.21396,1.4999,3.08684,1.51816,0.000463459,0.000463459,0.000463459
2,94.026,1.51542,2.03906,1.5762,0.33021,0.44932,0.25378,0.13185,1.71584,3.5237,1.74912,0.000921185,0.000921185,0.000921185
3,140.116,1.57042,1.98707,1.57174,0.65402,0.2781,0.32044,0.15162,1.82538,4.52114,1.87501,0.00136005,0.00136005,0.00136005
4,186.154,1.49545,1.93928,1.56975,0.28241,0.33756,0.23877,0.1279,1.99606,6.07977,2.14273,0.00134412,0.00134412,0.00134412
5,232.653,1.53514,1.87962,1.56037,0.32253,0.36776,0.28684,0.1486,1.79958,3.20742,1.83512,0.00131582,0.00131582,0.00131582
6,278.108,1.5175,1.90017,1.56808,0.64494,0.34554,0.31589,0.1492,1.81452,3.08084,1.86461,0.00128753,0.00128753,0.00128753
7,321.188,1.48116,1.77856,1.53242,0.29825,0.35331,0.2621,0.14168,1.81185,2.9777,1.8371,0.00125923,0.00125923,0.00125923
8,363.877,1.44566,1.76692,1.5229,0.45993,0.41889,0.37272,0.19163,1.82194,2.87261,1.7827,0.00123094,0.00123094,0.00123094
9,406.817,1.44682,1.7446,1.53778,0.37898,0.30908,0.26935,0.13613,1.92922,2.95032,1.91434,0.00120265,0.00120265,0.00120265
10,451.08,1.43467,1.66635,1.49772,0.54697,0.39534,0.39226,0.2265,1.69767,2.55398,1.75573,0.00117435,0.00117435,0.00117435
11,497.164,1.39687,1.64863,1.48502,0.42324,0.34143,0.33331,0.14568,1.91838,2.66312,1.89236,0.00114606,0.00114606,0.00114606
12,547.384,1.40218,1.61324,1.46917,0.43043,0.48129,0.42811,0.26406,1.54805,2.08707,1.52132,0.00111776,0.00111776,0.00111776
13,598.924,1.39574,1.57599,1.46364,0.5932,0.44351,0.44017,0.24031,1.68881,2.21312,1.68568,0.00108947,0.00108947,0.00108947
14,656.09,1.36974,1.54413,1.44082,0.4699,0.44528,0.45077,0.26367,1.72352,2.23602,1.72353,0.00106118,0.00106118,0.00106118
15,708.817,1.32716,1.49662,1.42354,0.43947,0.39204,0.33985,0.18787,1.57458,2.18347,1.62973,0.00103288,0.00103288,0.00103288
16,754.742,1.31876,1.44095,1.41232,0.66419,0.54158,0.54692,0.2743,1.79627,1.89662,1.73663,0.00100459,0.00100459,0.00100459
17,803.242,1.32381,1.43364,1.42986,0.57386,0.55674,0.56385,0.33074,1.46253,1.92143,1.47808,0.000976293,0.000976293,0.000976293
18,852.701,1.33234,1.40721,1.42259,0.55853,0.56074,0.54239,0.33909,1.47321,1.80672,1.50944,0.000947999,0.000947999,0.000947999
19,898.774,1.32471,1.4024,1.41645,0.4512,0.56722,0.50509,0.28426,1.55991,1.90309,1.5177,0.000919704,0.000919704,0.000919704
20,944.827,1.29277,1.35996,1.40432,0.44201,0.58393,0.52043,0.2908,1.50348,1.96855,1.5314,0.00089141,0.00089141,0.00089141
